rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id,Total Views,Subscriber Count,Hidden Subscriber Count,Video Count,Recent Video 1 Title,Recent Video 1 URL,Recent Video 2 Title,Recent Video 2 URL,Recent Video 3 Title,Recent Video 3 URL,Recent Video 4 Title,Recent Video 4 URL,Recent Video 5 Title,Recent Video 5 URL
31,Tips Official,Music,India,2007.0,May,22.0,UCJrDMFOdv1I2k8n9oK_V21w,48820305934,77200000,False,8250,"Gajjan ban ke #ammyvirk ne sab nu dikhaya, keh simplicity vich vi impact hunda ae! 😍",https://www.youtube.com/watch?v=6Repn-vYEek,"Daso hun, Gajjan da tikkha gussa wadh meetha lagga ya Pyaaro da? 😚",https://www.youtube.com/watch?v=Abtm8go-JmE,"Warning: This voice may cause feelings. Happy Birthday, Armaan Malik! 🎶💙.",https://www.youtube.com/watch?v=fJop4HW6UiI,"Action bhi, emotion bhi… aur Maalik ka full dhamaka bhi! 💣🔥Book your tickets now.",https://www.youtube.com/watch?v=32OYYBvXtc8,"Pehlan te sirf charcha si, hun taan cinema ch mach gaya ae hungama sirf Sarbala Ji da!",https://www.youtube.com/watch?v=ygKA8bbk-Mo
32,El Reino Infantil,Music,Argentina,2011.0,Jun,2.0,UCK1i2UviaXLUNrZlAFpw_jA,68269257662,69600000,False,1870,Bebé Tiburón (Baby Shark) - La Granja de Zenón - Bichikids y Más | El Reino Infantil,https://www.youtube.com/watch?v=5FY9iAWepZY,Vehículos Divertidos 🚲🚍 MINI SMILEY 😀 Canción Infantil | El Reino Infantil,https://www.youtube.com/watch?v=hd_gIH9eBvo,¡Bartolito al Rescate! 🐓 La Granja de Zenón en el Teatro: Héroes en Acción💫 #Shorts,https://www.youtube.com/watch?v=Yzo99Wb7asg,¡Feliz Día del Amigo! 💛 Zenón te manda un saludo especial 🤗 | #shorts  #lagranjadezenon,https://www.youtube.com/watch?v=HYkW3ydlZU4,¡Aventura sorpresa con Bartolito y El Lorito Pepe! 🐔🦜 | #Shorts #LaGranjaDeZenón,https://www.youtube.com/watch?v=qZ5rED86dxs
33,Wave Music,Music,India,2014.0,Oct,29.0,UCbuK8xxu2P_sqoMnDsoBrrg,2680504281,4820000,False,2411,"SABAI & Miles Away - F*ck It, I'm Alright (Lyrics) feat. Olivia Ridgely",https://www.youtube.com/watch?v=nuwZxSD-hf0,Mazare & Fluorescents - The Sound (Lyrics),https://www.youtube.com/watch?v=Y28mSC0EXuM,Audien - Lose It All (Lyrics) feat. Rory Hope,https://www.youtube.com/watch?v=wvs9rflsg0s,Maroon 5 - California (Lyrics),https://www.youtube.com/watch?v=eLG89Q3xmMk,"Afrojack, Martin Garrix, David Guetta, Amél - Our Time (Lyrics)",https://www.youtube.com/watch?v=rZ7iR6X6QP4
34,Aaj Tak,News & Politics,India,2009.0,Aug,27.0,UCt4t-jeY85JegMlZ-E5UWtA,40393391229,73000000,False,484391,Black and White शो के आज के Highlights | 23 July 2025 | Anjana Om Kashyap | Akhilesh Yadav,https://www.youtube.com/watch?v=dA17Tbn-LFQ,"Rajasthan: अलवर में कांवड़ यात्रा में करंट से मौतें, बिजली विभाग की लापरवाही पर फूटा गुस्सा | AajTak",https://www.youtube.com/watch?v=dgoljoA8pPo,कौन से मोमोज़ हैं हेल्दी? जानिए रुजुता दिवेकर की सलाह #shorts #diet #shortsvideo #shortsviral,https://www.youtube.com/watch?v=pY-hmAbRVIw,ब्लैक एंड व्हाइट में Smriti Irani EXCLUSIVE #shorts #smritiirani #blackandwhiteshow #anjanaomkashyap,https://www.youtube.com/watch?v=BVNmo4VCFRs,Hariyali Amavasya को भूलकर भी ना करें ये काम! #shorts #shortsvideo #bholenath #shortsviral,https://www.youtube.com/watch?v=KJs5s1yES7U
35,Sony Music India,Music,India,2009.0,Sep,2.0,UC56gTxNs4f9xZ7Pa2i5xNzg,36706760214,66800000,False,7025,"Mera Pehla Pehla Pyar| Jaan Abhi Baaki Hai| Mahesh, I J Mishra, Satyajeet, Javed Ali, Nikhita Gandhi",https://www.youtube.com/watch?v=1gSmFQhr1ao,"Relive the love, feel the pain…💘 #arijitsingh #khamoshiyan #jeetgannguli",https://www.youtube.com/watch?v=7kMtGMtXcjE,The OG chill anthem of every college gang 😎 #vele #vishalshekhar #partysongs,https://www.youtube.com/watch?v=1VV0bg_QEeU,Feelings Of Love Jukebox | Evergreen Romantic Hindi Songs | Best of Bollywood Songs,https://www.youtube.com/watch?v=EY5e5bdeCm8,"Mera Yaar 8K - 8K/4K Music Video | Farhan Akhtar, Sonam Kapoor | Javed Bashir | Bhaag Milkha Bhaag",https://www.youtube.com/watch?v=ZI08l1-qT3s
36,EminemMusic,Music,United States,2007.0,Feb,9.0,UCfM3zsQsOnfWNUppiycmBuw,34617421143,65400000,False,199,STANS - Trailer (In Theatres August 7),https://www.youtube.com/watch?v=DZkDackH-H8,Eminem - The Real Slim Shady & The Way I Am (Live at MTV Music Awards 2000),https://www.youtube.com/watch?v=cdssTIMXQ1Y,Eminem - Fortnite Chapter 2 Remix The Finale Performance,https://www.youtube.com/watch?v=6lEg1Nt7A8A,Eminem - Fuel (feat. JID) [Official Lyric Video],https://www.youtube.com/watch?v=t5H_CewqpKA,Eminem - Temporary (feat. Skylar Grey) [Official Music Video],https://www.youtube.com/watch?v=ZaK9Wi5ho0o
37,Marshmello,Entertainment,United States,2015.0,Apr,6.0,UCEdvpU2pFRCVqU6yIPyTpMQ,16873688565,58000000,False,542,I can’t wait for yall to watch this @SmurfsMovie,https://www.youtube.com/watch?v=iWraO07JAqo,Marshmello - Bassline Flexa [@JoytimeCollective  Presents: Jumpstart Vol. 1],https://www.youtube.com/watch?v=fdE0BivhxTE,Jumpstart Vol. 1 is the first compilation on my label @JoytimeCollective Drops July 4th,https://www.youtube.com/watch?v=Q0FHPZfOYiQ,We were cringe but we were happy😂,https://www.youtube.com/watch?v=hj4ewm0IBiQ,Have to get them the best shot possible,https://www.youtube.com/watch?v=_6SJdUL8RdM
38,YRF,Film & Animation,India,2006.0,Jun,7.0,UCbTLwN10NoCU4WDzLf1JMOA,49545670095,66800000,False,4595,"Some songs fade, this one stayed. 500 Million+ Views on #MainYahaanHoon #VeerZaara",https://www.youtube.com/watch?v=KdxzTtS75To,"If “meant to be” had a visual, it would be this ♾️ | Book your tickets and watch #Saiyaara now",https://www.youtube.com/watch?v=XQ0QymAYtaY,"Lyrical | Dhun Song | Saiyaara | Ahaan Panday, Aneet Padda | Mithoon | Arijit Singh | In cinemas now",https://www.youtube.com/watch?v=xH4daEJvaZY,The love. The ache. The music. Experience #Saiyaara in cinemas now,https://www.youtube.com/watch?v=Dov6Ydt8TgM,Some love stories don’t just touch you they consume you | Watch #Saiyaara in cinemas now,https://www.youtube.com/watch?v=jqVHRB8bITw
39,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,,2016.0,Nov,29.0,UC4NALVCmcmL5ntpV0thoH6w,38213758541,60400000,False,1022,Johny Johny Yes Papa - Learn Colors with Colorful BALLS + Baby Shark Surprise Eggs - Kids Songs,https://www.youtube.com/watch?v=HI5upQGIqmY,"LIVE - Wheels On The Bus, Johny Johny Yes Papa + A Ram Sam Sam and more Preschool Kids Songs",https://www.youtube.com/watch?v=wiPRXaSCuKg,LIVE - Johny Johny Yes PAPA and more Kids Songs and Nursery Rhymes - LooLoo Kids,https://www.youtube.com/watch?v=M4CMq2ooqRY,Let’s Count Together! Colors & Numbers Song - Kids Songs - LooLoo Kids Nursery Rhymes,https://www.youtube.com/watch?v=f0RUcS8r0Kk,LooLoo Kids feat DoggyLand by SnoopDog - Kids Fun Song,https://www.youtube.com/watch?v=QJpzcEjsfoU
40,Ed Sheeran,Music,United Kingdom,2006.0,Aug,8.0,UC0C-w0YjGpqDXGB8IHb662A,35706427959,58000000,False,645,Sapphire full Punjabi version feat. @Official_ArijitSingh ​⁠is out tomorrow 7:30pm BST / 12am IST,https://www.youtube.com/watch?v=MQrPSHZoocM,"Don’t meet your hero’s, unless your hero’s are James blunt. Love you mate xx.",https://www.youtube.com/watch?v=bkkKgLuuDRA,"This is one of my fav songs of the year, and such a huge talent. Thank you Skye Newman !",https://www.youtube.com/watch?v=OKbatquJFUI,Ed Sheeran - Sapphire (Unplugged) [Lyric Video],https://www.youtube.com/watch?v=H3QdJB77Ydg,I appreciate the effort on this waxwork but it’s creepy af let’s be honest,https://www.youtube.com/watch?v=zXw_6ru_3TI
41,Infobells - Hindi,Education,India,2014.0,Jun,6.0,UC1ciY6kR3yj3kaKZ6R7ewAg,43499571151,70500000,False,807,Akkad Bakkad Bambe Bo | Aloo Kachaloo Beta Plays Hide and Seek! Hindi Rhymes for Kids | Infobells,https://www.youtube.com/watch?v=mSkpVMptdNo,लालाजी को समोसा पसंद है - Lalaji Song | Hindi Rhymes & Cartoons | Infobells #hindirhymes #cartoons,https://www.youtube.com/watch?v=Tu79Wx0OIos,Chunnu Munnu The Do Bhai - Baby Toys Playing | Hindi Rhymes for Children | Infobells #hindirhymes,https://www.youtube.com/watch?v=c1VEnKdyTO4,Munna Jhoola Jhool - Jhoole mein munna rota hai | Hindi Rhymes & Cartoons | Infobells #hindirhymes,https://www.youtube.com/watch?v=tk0Op3ctxrA,Hathi Raja - हाथी राजा की लंबी सूंड | Hindi Rhymes & Cartoons | Infobells #hindirhymes #hathiraja,https://www.youtube.com/watch?v=Pi8usYXuSH4
42,Taylor Swift,Music,United States,2006.0,Sep,20.0,UCqECaJ8Gagnn7YCbPEzWH6g,40061167398,61200000,False,286,The #TSSummer2025 collection. Available at store.taylorswift.com while supplies last! ☀️,https://www.youtube.com/watch?v=58zLBjzfd4M,Anti-Hero (Behind The Scenes with The Ghosts In The Room),https://www.youtube.com/watch?v=P0haCYjysUs,cardigan (behind the scenes - forest & ocean),https://www.youtube.com/watch?v=PQp643val70,"Anti-Hero (Behind the Scenes with Mike Birbiglia, John Early & Mary Elizabeth Ellis)",https://www.youtube.com/watch?v=-ddfFsLHNQs,Bejeweled (Behind the Scenes with Dita Von Teese),https://www.youtube.com/watch?v=0GeyBM6NS5s
43,Ariana Grande,Music,United States,2007.0,Jan,22.0,UC9CoOnJkIBMdeijd9qYoT_g,29417359965,56200000,False,231,Ariana Grande - twilight zone (a cappella),https://www.youtube.com/watch?v=faIWnA4a524,Ariana Grande - twilight zone (instrumental),https://www.youtube.com/watch?v=tcZAMKVF2OE,Ariana Grande - twilight zone (official music video),https://www.youtube.com/watch?v=XKPAzTPsWrw,Ariana Grande - supernatural (official music video),https://www.youtube.com/watch?v=hKwizc5nsWY,"Ariana Grande - brighter days ahead (behind the scenes, part two)",https://www.youtube.com/watch?v=E9-hgk5Laxc
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,United States,2013.0,Oct,25.0,UCRx3mKNUdl8QE06nEug7p6Q,13462719300,57800000,False,1572,"Indoor Playground with Wheels on the Bus Baby Hamster! Cartoons, and Family PlayToys!",https://www.youtube.com/watch?v=pDkadl_yONk,Baby Stories and Cartoon Shows for Kids! Best Popular Songs Compilation!,https://www.youtube.com/watch?v=RIRH-BP2juc,Indoor Playground! Cartoon for Kids and funny Stories! BillionSurpriseToys,https://www.youtube.com/watch?v=mwUW8Bsry0U,🔴 Wheels on the BUS 🚌 BST LIVE Best Kids Songs 2024! + MORE Nursery Rhymes! |,https://www.youtube.com/watch?v=6Zsug2SuJf8,Yummy Marshmallow Land with Playtime Songs for Children,https://www.youtube.com/watch?v=9Y89KNRkCOk
45,JuegaGerman,Gaming,Chile,2013.0,May,19.0,UCYiGq8XF7YQD00x7wAd62Zg,17222135499,53700000,False,2339,Trucos Que Te Salvaran La Vida,https://www.youtube.com/watch?v=ZvwVUZthxZ4,SE HACEN PASAR POR HUMANOS!!!!!!!!,https://www.youtube.com/watch?v=r5LeFM-Djes,Se TATUÓ MI CARA!!!! ✍️,https://www.youtube.com/watch?v=hNI6G0Cr2pI,NO HABLES Con Este Abuelo A Las 9:35 pm,https://www.youtube.com/watch?v=X53ULiDqK68,Mi Gringa Aprende Español Bajo Presión 🤣 @duolingoespanol,https://www.youtube.com/watch?v=np-YyHt0Uo4
46,Billie Eilish,Music,United States,2013.0,Feb,6.0,UCiGm_E4ZwYSHV3bcW1pnSeQ,20019940932,56300000,False,162,On Tour in Europe by Billie (Leg 1),https://www.youtube.com/watch?v=SHRLsnmyX68,blue.m4a (BLUE Mid-Writing Process),https://www.youtube.com/watch?v=MbgtBPgdy7c,paralyzed.m4a (BITTERSUITE Mid-Writing Process),https://www.youtube.com/watch?v=pprOlfeRRxA,playing diner for ricky.m4a (THE DINER Mid-Writing Process),https://www.youtube.com/watch?v=OQ1y3QMYHWI,playing claudia love of my life.m4a (L’AMOUR DE MA VIE Mid-Writing Process),https://www.youtube.com/watch?v=pHVXhX_1Pes
47,Get Movies,Entertainment,Russia,2006.0,Dec,16.0,UClZkHt2kNIgyrTTPnSQV3SA,36057814275,55900000,False,3705,НОВОЕ! ЛЕКС И ПЛУ: КОСМИЧЕСКИЕ ТАКСИСТЫ - 6 серия!!!  МУЛЬТФИЛЬМ ДЛЯ ДЕТЕЙ про машинки,https://www.youtube.com/watch?v=7ZuYg5nin0E,KOTE GAMES | Мультики | Animared Cartoons एनिमेटेड कार्टून kartun animasi,https://www.youtube.com/watch?v=ud9QYt20ilg,KOTE GAMES | Мультики | Animared Cartoons एनिमेटेड कार्टून kartun animasi,https://www.youtube.com/watch?v=GRUU3jY_YO0,Сборник серий Маша и Медведь — Смотреть без остановки!,https://www.youtube.com/watch?v=MlYIiQ46958,НОВОЕ! Говорящий Том - Большой Бен 13 СЕРИЯ -  Мультики для детей,https://www.youtube.com/watch?v=VmhtP25OfP0
48,Shemaroo,Entertainment,India,2007.0,Sep,1.0,UCF1JIbMUs6uqoZEY1Haw0GQ,26635452183,59400000,False,13348,Chennai Vs China - Suriya's Blockbuster Action Movie Hindi Dubbed (HD) - 7 Aum Arivu - Shruti Haasan,https://www.youtube.com/watch?v=MtThOv9ZfYw,Rocky Aur Rani Ki Prem Kahaani - Climax Scene (4K) - Ranveer Singh & Alia Bhatt - Hit Romantic Movie,https://www.youtube.com/watch?v=7yiWkw94gDc,"Jaya Bachchan VS Alia Bhatt, Ranveer Singh - Rocky Aur Rani Ki Prem Kahaani (4K) - Emotional Scene!",https://www.youtube.com/watch?v=Y0PWvHVs-wg,बोहोत अच्छा मेन्टेन किया है तूने ! 🥰 - Vidyut Jammwal & Adah Sharma Comedy Scene! - Commando 2 (4K),https://www.youtube.com/watch?v=XH41rRdbsog,"Jaguar - Full Blockbuster Action Movie! - Hindi Dubbed - Nikhil Gowda, Ramya Krishnan, Brahmanadam",https://www.youtube.com/watch?v=GGqu4CVTy8g
49,Badabun,Entertainment,,2007.0,Jul,21.0,UCYWOjHweP2V-8kGKmmAmQJQ,20024663893,47600000,False,26572,Acaban de encontrar lo peor en Puebla y todo México debe saberlo,https://www.youtube.com/watch?v=ivEaIzG_SnA,"Su corazón dejó de latir en pleno partido, pero lo último que hizo, hizo llorar al mundo.",https://www.youtube.com/watch?v=lMm1FQJt85E,Ya habrá fiscalía especializada en maltrato animal,https://www.youtube.com/watch?v=ALcuLFisTdA,En China así trabajan los albañiles,https://www.youtube.com/watch?v=L1wf0qtWuqw,"Si plantas un árbol, pagarás menos impuestos",https://www.youtube.com/watch?v=Ffrj-ALs56I
50,SonyMusicIndiaVEVO,Music,United States,2009.0,Sep,2.0,UC3MLnJtqc_phABBriLRhtgQ,37683758527,57300000,False,3757,Hamari Adhuri Kahani - Encore | Lyrical Video | Emraan Hashmi | Vidya Balan | Jeet Gannguli,https://www.youtube.com/watch?v=z23GK9PO2jE,Aise Na Dekho - Lyrical Video | Dhanush | Sonam Kapoor | Raanjhanaa | A. R. Rahman Hits,https://www.youtube.com/watch?v=8DS-JIHerdE,"Jab Tu Sajan - Lyric Video | Aap Jaisa Koi | R. Madhavan, Fatima | Rochak, Mohit",https://www.youtube.com/watch?v=68gBaJ3RWxQ,"Saare Jag Mein - Lyric Video | Aap Jaisa Koi | R. Madhavan, Fatima Sana Shaikh",https://www.youtube.com/watch?v=EbBnQZ0YobI,"Dhuan Dhuan - Lyric Video | Aap Jaisa Koi | R. Madhavan, Fatima Sana Shaikh",https://www.youtube.com/watch?v=Kgx1psMB0QU
